Date,Open,High,Low,Close,Volume,fng_score,avg_sentiment,news_count,price_change,rsi,volatility_7d,sentiment_sma3,price_change_lag1,sentiment_lag1,Cluster,Risk_Level
2022-01-22,36471.58984375,36688.8125,34349.25,35030.25,39714385405,13,-0.4309689700603485,4,-0.039143484680769114,21.64026057474466,0.036370055682419355,-0.22991828025892527,-0.10381165615712484,-0.33246901879707974,2,High Risk
2022-01-23,35047.359375,36433.3125,34784.96875,36276.8046875,26017975951,11,-0.16234913468360904,6,0.03558509252717301,31.109826890042882,0.042754188174930895,-0.30859570784701246,-0.039143484680769114,-0.4309689700603485,2,High Risk
2022-01-24,36275.734375,37247.51953125,33184.05859375,36654.328125,41856658597,13,-0.18425842622915903,12,0.010406744495611076,32.08869722982311,0.04469145033513836,-0.25919217699103886,0.03558509252717301,-0.16234913468360904,2,High Risk
2022-01-25,36654.8046875,37444.5703125,35779.4296875,36954.00390625,26428189594,12,0.1482377052307129,20,0.008175727030871549,33.0907171277976,0.04516339390796947,-0.06612328522735172,0.010406744495611076,-0.18425842622915903,2,High Risk
2022-01-26,36950.515625,38825.41015625,36374.90625,36852.12109375,31324598034,23,0.27474490620873193,22,-0.002757016878562668,28.336055524648444,0.04555411258948096,0.0795747284034286,0.008175727030871549,0.1482377052307129,2,High Risk
2022-01-27,36841.87890625,37148.32421875,35629.28125,37138.234375,25041426629,20,-0.05625779488507438,17,0.007763821260712289,23.084729331711443,0.0462162429236254,0.12224160551812348,-0.002757016878562668,0.27474490620873193,2,High Risk
2022-01-28,37128.4453125,37952.87890625,36211.109375,37784.33203125,22238830523,24,0.009067797660827626,20,0.017397102127314046,29.870852529022116,0.022891298395874202,0.07585163632816173,0.007763821260712289,-0.05625779488507438,0,Low Risk
2022-01-29,37780.71484375,38576.26171875,37406.47265625,38138.1796875,17194183075,24,-0.4954168349504471,4,0.00936493083845824,28.952902120602616,0.011865015173069234,-0.18086894405823128,0.017397102127314046,0.009067797660827626,0,Low Risk
2022-01-30,38151.91796875,38266.33984375,37437.7109375,37917.6015625,14643548444,29,0.5479778895775477,6,-0.005783656346668664,27.95482214321406,0.007990400640177697,0.02054295076264273,0.00936493083845824,-0.4954168349504471,0,Low Risk
2022-01-31,37920.28125,38647.26171875,36733.57421875,38483.125,20734730465,20,-0.03394893142912124,18,0.01491453610450133,33.7165432765767,0.008533450885357374,0.0062040410659931116,-0.005783656346668664,0.5479778895775477,0,Low Risk
2022-02-01,38481.765625,39115.1328125,38113.6640625,38743.2734375,20288500328,26,0.08786549775496773,23,0.00676006528835682,34.481511001811725,0.008518002056467845,0.2006314853011314,0.01491453610450133,-0.03394893142912124,0,Low Risk
2022-02-02,38743.71484375,38834.6171875,36832.73046875,36952.984375,19155189416,28,-0.16088398694992065,25,-0.046209029430310355,31.374485536718225,0.021927819589558577,-0.03565580687469139,0.00676006528835682,0.08786549775496773,0,Low Risk
2022-02-03,36944.8046875,37154.6015625,36375.5390625,37154.6015625,18591534769,20,-0.1420807157244001,14,0.005456046132945147,35.30912221822555,0.02181926049605638,-0.07169973497311767,-0.046209029430310355,-0.16088398694992065,0,Low Risk
2022-02-04,37149.265625,41527.78515625,37093.62890625,41500.875,29412210792,20,0.3027527682921466,17,0.116978066100073,70.80128253666703,0.049610159267601456,-7.064479405805013e-05,0.005456046132945147,-0.1420807157244001,2,High Risk
2022-02-05,41501.48046875,41847.1640625,41038.09765625,41441.1640625,19652846215,33,0.0,8,-0.001438787435204647,79.80202608031831,0.04996323701153374,0.05355735085591549,0.116978066100073,0.3027527682921466,1,Medium Risk
2022-02-06,41441.12109375,42500.78515625,41244.90625,42412.43359375,16142097334,37,0.5768738729613168,7,0.023437312952531153,79.27150029761228,0.04935378408629656,0.2932088804178211,-0.001438787435204647,0.0,1,Medium Risk
2022-02-07,42406.78125,44401.86328125,41748.15625,43840.28515625,28641855926,45,0.13383042812347412,20,0.033665872045371525,81.1596240393915,0.04972111489973388,0.2369014336949303,0.023437312952531153,0.5768738729613168,1,Medium Risk
2022-02-08,43854.65234375,45293.8671875,42807.8359375,44118.4453125,33079398868,48,0.4381841296950976,24,0.0063448528050995545,81.1244038057329,0.04973951805644125,0.38296281025996287,0.033665872045371525,0.13383042812347412,1,Medium Risk
2022-02-09,44096.703125,44727.80078125,43232.96875,44338.796875,23245887300,54,0.08158639202947203,23,0.004994545046617338,82.19291335276185,0.04150689361592401,0.21786698328268125,0.0063448528050995545,0.4381841296950976,1,Medium Risk
2022-02-10,44347.80078125,45661.171875,43402.80859375,43565.11328125,32142048537,50,0.012166344202481786,26,-0.01744935921313273,76.52358842034432,0.04430284349546875,0.1773122886423505,0.004994545046617338,0.08158639202947203,1,Medium Risk
2022-02-11,43571.12890625,43810.83203125,42114.5390625,42407.9375,26954925781,50,-0.01013698180516561,24,-0.026561982607033352,68.30916176599341,0.021152102088443994,0.027871918142262735,-0.01744935921313273,0.012166344202481786,0,Low Risk
2022-02-12,42412.30078125,42992.55078125,41852.57421875,42244.46875,18152390304,44,-0.09041359207846898,11,-0.0038546734323026133,66.50955101107473,0.02126144304224575,-0.029461409893717604,-0.026561982607033352,-0.01013698180516561,0,Low Risk
2022-02-13,42236.56640625,42693.0546875,41950.94140625,42197.515625,14741589015,44,0.4679717838764191,10,-0.001111462077505676,67.45126296750058,0.019246005769174377,0.12247373666426149,-0.0038546734323026133,-0.09041359207846898,0,Low Risk
2022-02-14,42157.3984375,42775.77734375,41681.95703125,42586.91796875,20827783012,46,0.18941697478294373,18,0.009228086961576842,66.97696621351491,0.013298929687219576,0.18899172219363125,-0.001111462077505676,0.4679717838764191,1,Medium Risk
2022-02-15,42586.46484375,44667.21875,42491.03515625,44575.203125,22721659051,46,0.10511248026575361,28,0.04668769779745485,71.10801326731722,0.023436493105139164,0.2541670796417055,0.009228086961576842,0.18941697478294373,1,Medium Risk
2022-02-16,44578.27734375,44578.27734375,43456.69140625,43961.859375,19792547657,51,-0.06880215956614569,26,-0.013759752216496501,77.73036202882531,0.024061362401506685,0.07524243182751722,0.04668769779745485,0.10511248026575361,1,Medium Risk
2022-02-17,43937.0703125,44132.97265625,40249.37109375,40538.01171875,26246662813,52,0.0008752605189448058,23,-0.07788223029977337,60.666638260162365,0.03784913204887154,0.012395193739517576,-0.013759752216496501,-0.06880215956614569,0,Low Risk
2022-02-18,40552.1328125,40929.15234375,39637.6171875,40030.9765625,23310007704,30,-0.11785891652107239,26,-0.012507647384577658,43.88588802108891,0.03716648733409987,-0.061928605189424425,-0.07788223029977337,0.0008752605189448058,2,High Risk
2022-02-19,40026.0234375,40418.87890625,39713.05859375,40122.15625,13736557863,25,0.0,3,0.0022777282826873524,44.52785032576911,0.03734134518139032,-0.03899455200070919,-0.012507647384577658,-0.11785891652107239,2,High Risk
2022-02-20,40118.1015625,40119.890625,38112.8125,38431.37890625,18340576452,27,0.4355502128601074,4,-0.04214073972532317,34.41432166552276,0.039472818116235105,0.10589709877967834,0.0022777282826873524,0.0,2,High Risk
2022-02-21,38423.2109375,39394.4375,36950.4765625,37075.28125,29280402798,25,0.19807644486427306,20,-0.03528620868790788,23.365626631159103,0.038955222318461574,0.21120888590812684,-0.04214073972532317,0.4355502128601074,2,High Risk
2022-02-22,37068.76953125,38359.85546875,36488.93359375,38286.02734375,25493150450,20,0.09398004023925113,23,0.03265642371222732,28.608167441812483,0.035194701716835634,0.2425355659878772,-0.03528620868790788,0.19807644486427306,2,High Risk
2022-02-23,38285.28125,39122.39453125,37201.81640625,37296.5703125,21849073843,25,0.2785740594069163,18,-0.025843815613622922,25.55029169148513,0.035079475088837686,0.19021018150348015,0.03265642371222732,0.09398004023925113,0,Low Risk
2022-02-24,37278.56640625,38968.83984375,34459.21875,38332.609375,46383802093,23,-0.2358882850216281,31,0.027778400368163814,32.15844174179894,0.02968245405249559,0.045555271541513113,-0.025843815613622922,0.2785740594069163,2,High Risk
2022-02-25,38333.74609375,39630.32421875,38111.34375,39214.21875,26545599159,27,0.2970301975374636,23,0.022998939789759643,38.90163680739754,0.031667636546519794,0.11323865730758394,0.027778400368163814,-0.2358882850216281,0,Low Risk
2022-02-26,39213.08203125,40005.34765625,38702.53515625,39105.1484375,17467554129,26,0.19989227056503295,5,-0.002781397053842838,39.04927259131034,0.031597852393509714,0.08701139436028948,0.022998939789759643,0.2970301975374636,0,Low Risk
2022-02-27,39098.69921875,39778.94140625,37268.9765625,37709.78515625,23450127612,26,0.3007848958174388,6,-0.03568234201898368,35.69169171862005,0.030341696521210246,0.2659024546399784,-0.002781397053842838,0.19989227056503295,0,Low Risk
2022-02-28,37706.0,43760.45703125,37518.21484375,43193.234375,35690014104,20,0.35415412149121683,31,0.1454118392886461,51.45915389999837,0.059990229475912295,0.28494376262456284,-0.03568234201898368,0.3007848958174388,2,High Risk
2022-03-01,43194.50390625,44793.6015625,42952.5859375,44354.63671875,32479047645,51,0.46171464161439374,22,0.026888524570001016,49.44718586127298,0.05988310534699739,0.3722178863076831,0.1454118392886461,0.35415412149121683,1,Medium Risk
2022-03-02,44357.6171875,45077.578125,43432.8515625,43924.1171875,29183112630,52,0.01958496462215078,22,-0.009706302725009275,49.90453037084348,0.057984164795903896,0.27848457590925374,0.026888524570001016,0.46171464161439374,1,Medium Risk
2022-03-03,43925.1953125,44021.578125,41914.75,42451.7890625,24967782593,39,0.04886199533939364,24,-0.03351981142193561,55.37123034193085,0.06198310294109386,0.17672053385864603,-0.009706302725009275,0.01958496462215078,2,High Risk
2022-03-04,42458.140625,42479.61328125,38805.84765625,39137.60546875,28516271427,33,-0.03688831173855326,23,-0.07806935036049167,47.833960216991336,0.07122582200866547,0.0105195494076637,-0.03351981142193561,0.04886199533939364,2,High Risk
2022-03-05,39148.44921875,39566.3359375,38777.03515625,39400.5859375,16975917450,22,-0.1647378106911977,6,0.00671938064683042,48.26495744157256,0.07121467801022827,-0.05092137569678579,-0.07806935036049167,-0.03688831173855326,2,High Risk
